"№",Название,Кол-во,Опер.,Акт.,ID
"",,,,
"---",---------------------------Рогатки---------------------------,---,---,---,----------------
"",,,,
103,Предохранитель на Ekol Major  Ekol Lady,48," "," ",661369307
104,Предохранитель на Ekol Major  Ekol Lady золото,3," "," ",718731137
105,Пружина бойка EKOL P29 REVII,60," "," ",754757546
106,Пружина бойка Ekol Firat Magnum,5," "," ",749175859
107,Пружина бойка Ekol Jediz,10," "," ",777487053
108,Пружина бойка на стартовые пистолеты Ekol,11," "," ",661433069
109,Пружина бойка на стартовые пистолеты Ekol Lady  Ekol Major,54," "," ",721436584
110,Пружина бойка на стартовый пистолет Ekol Aras Compact,2," "," ",721458412
111,Пружина затворной задержки EKOL P29 REVII,19," "," ",754741083
112,Пружина затворной задержки Ekol Firat Magnum,25," "," ",749195076
113,Пружина кнопки сброса магазина Stalker 914,7," "," ",971045004
114,Пружина курка Ekol P-29,17," "," ",661379366
115,Пружина курка Stalker 914,3," "," ",971069347
116,Пружина магазина Stalker 917,1," "," ",981459822
117,Пружина спускового крючка Stalker 914,92," "," ",971078304
118,Пружина тяги Ekol Firat Magnum,19," "," ",786341778
119,Пружина тяги Ekol P29 REVII,98," "," ",746005669
120,Рукоятка на Stalker 914,0," "," ",970129359
121,Рычаг курка Ekol Botan,9," "," ",777526113
122,Рычаг курка Stalker 914,9," "," ",970205381
123,Рычаг спускового крючка на Ekol Major  Ekol Lady,19," "," ",1035016917
124,Спусковой крючок Ekol P29 REVII,17," "," ",745911944
125,Ствол с патронником для стартового пистолета Ekol Aras Compact,19," "," ",687834325
126,Тяга курка Ekol ALP,5," "," ",1081550813
127,Тяга курка Ekol P-29,26," "," ",718756757
128,Тяга курка Stalker 917,4," "," ",981500565
129,Тяга курка к Ekol Firat Magnum  Firat Compact,8," "," ",648636512
130,Тяга курка к Stalker 914,7," "," ",969936888
131,Фиксатор затворной рамы Ekol P-29,34," "," ",718744427
132,Фиксатор спускового крючка Stalker 917,1," "," ",981520638
133,Флажок предохранителя Ekol Botan,2," "," ",1035081694
134,Флажок предохранителя Ekol Majarov,0," "," ",749222540
135,Флажок предохранителя Ekol P29 REVII (левый),13," "," ",745944144
136,Флажок предохранителя Ekol P29 REVII (правый),3," "," ",745949528
137,Флажок предохранителя Stalker 914,19," "," ",970182576
138,Флажок разборки EKOL P29 REVII,0," "," ",754748864
139,Штифт Stalker 914,10," "," ",971021860
140,Штифт Stalker 917,8," "," ",981532069
"",,,,
"---",---------------------------Оптические прицелы---------------------------,---,---,---,----------------
"",,,,
141,Оптический прицел  Diana 4-16х42,0," "," ",58941473
