Name,Price,Currency,ID,URL
"Манжета RTI на Crosman 1377, 2100",50,UAH,48287756,https://co2.prom.ua/p48287756-manzheta-rti-crosman.html
"Надбалонная прокладка для МР-654, МР-651",10,UAH,48287888,https://co2.prom.ua/p48287888-nadbalonnaya-prokladka-dlya.html
Надбалонная прокладка для пистолетов Borner,15,UAH,48287932,https://co2.prom.ua/p48287932-nadbalonnaya-prokladka-dlya.html
Надбалонная прокладка для пистолетов Crosman,15,UAH,48287967,https://co2.prom.ua/p48287967-nadbalonnaya-prokladka-dlya.html
Надбалонная прокладка для пистолетов KWC,15,UAH,48290003,https://co2.prom.ua/p48290003-nadbalonnaya-prokladka-dlya.html
Надбалонная прокладка для пистолетов Umarex,15,UAH,48291605,https://co2.prom.ua/p48291605-nadbalonnaya-prokladka-dlya.html
Сальник ствола RTI Hammerli 900,35,UAH,48291751,https://co2.prom.ua/p48291751-salnik-stvola-rti.html
Ремкомплект прокладок на пистолеты Borner,50,UAH,48292711,https://co2.prom.ua/p48292711-remkomplekt-prokladok-pistolety.html
Ремкомплект прокладок на пистолеты Crosman,50,UAH,48292739,https://co2.prom.ua/p48292739-remkomplekt-prokladok-pistolety.html
Ремкомплект прокладок на пистолеты Gletcher,50,UAH,48292794,https://co2.prom.ua/p48292794-remkomplekt-prokladok-pistolety.html
Ремкомплект прокладок на пистолеты Umarex,50,UAH,48292864,https://co2.prom.ua/p48292864-remkomplekt-prokladok-pistolety.html
Сальник ствола RTI Crosman (высокий),35,UAH,48293001,https://co2.prom.ua/p48293001-salnik-stvola-rti.html
Сальник ствола RTI Hatsan 125,35,UAH,48293021,https://co2.prom.ua/p48293021-salnik-stvola-rti.html
"Манжета RTI на BAM 28, Diana 48",50,UAH,50909863,https://co2.prom.ua/p50909863-manzheta-rti-bam.html
"Манжета RTI на Benjamin 1500XL, BAM 22, Stoeger X50",50,UAH,50909884,https://co2.prom.ua/p50909884-manzheta-rti-benjamin.html
"Манжета RTI на МР-512, ИЖ-61, ИЖ-60, ИЖ-53",50,UAH,50909923,https://co2.prom.ua/p50909923-manzheta-rti-512.html
Сальник ствола RTI Gamo 1250,35,UAH,50909992,https://co2.prom.ua/p50909992-salnik-stvola-rti.html
"Сальник ствола RTI BAM 30,BAM 40",35,UAH,50910030,https://co2.prom.ua/p50910030-salnik-stvola-rti.html
Гайка для магазинов KWC,85,UAH,52641316,https://co2.prom.ua/p52641316-gajka-dlya-magazinov.html
Имитатор выбрасывателя МР-654,60,UAH,52641372,https://co2.prom.ua/p52641372-imitator-vybrasyvatelya-654.html
Глушитель Diana F 16mm для мод. 34-350,60,EUR,59175652,https://co2.prom.ua/p59175652-glushitel-diana-16mm.html
"Глушитель Diana F 19mm для мод. Panther 21/24-28, 34-350",60,EUR,59175954,https://co2.prom.ua/p59175954-glushitel-diana-19mm.html
Глушитель Diana для P 1000,52,EUR,59176291,https://co2.prom.ua/p59176291-glushitel-diana-dlya.html
Магазин Diana для P 1000,30,EUR,59179329,https://co2.prom.ua/p59179329-magazin-diana-dlya.html
Резервуар ВД Diana для Р1000,197,EUR,59179486,https://co2.prom.ua/p59179486-rezervuar-diana-dlya.html
Уплотнение ствола МР 654 К Н (32 серия),25,UAH,59564100,https://co2.prom.ua/p59564100-uplotnenie-stvola-654.html
Гладкий стволик для МР-654 К (28 серия),250,UAH,59564251,https://co2.prom.ua/p59564251-gladkij-stvolik-dlya.html
Гладкий стволик для МР-654 К Н (32 серия),250,UAH,59564291,https://co2.prom.ua/p59564291-gladkij-stvolik-dlya.html
Усиленная пружина VB для Crosman,130,UAH,60444999,https://co2.prom.ua/p60444999-usilennaya-pruzhina-dlya.html
"Сальник ствола МР-512, ИЖ-38, ИЖ-53 оригинал",25,UAH,61700011,https://co2.prom.ua/p61700011-salnik-stvola-512.html
Досылатель ИЖ-61,320,UAH,61700240,https://co2.prom.ua/p61700240-dosylatel-izh.html
Обтюратор МР 654 ,115,UAH,61700403,https://co2.prom.ua/p61700403-obtyurator-654.html
"Манжета кожаная МР 512, ИЖ-38, ИЖ-22 и др.",34,UAH,61700871,https://co2.prom.ua/p61700871-manzheta-kozhanaya-512.html
"Прицельная планка ИЖ-61, ИЖ-60",240,UAH,61701911,https://co2.prom.ua/p61701911-pritselnaya-planka-izh.html
